Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Villa Devoto,CARLOS ANTONIO LOPEZ 3001,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Devoto,Nogoya 4462,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Devoto,MOSCONI 3522,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Devoto,TINOGASTA 4389,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Devoto,SAN MARTIN  6957,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Devoto,MELINCUE  3952,400.00m2,10m,10m,40m,40m,20.53 m,27.37 m,USAM  (Codigo Anterior : R1bI - FOT: 1),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,1305.10m2,,U$S  295.000,PLUSVALIA  U$S 50.735,https://lideresenterrenos.com.ar/estudioTerreno/1658
Villa Gral. Mitre,GAONA 2483,271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
Villa Gral. Mitre,GAONA 2323,271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
Villa Gral. Mitre,"Figueroa, D. Apolinario, Coron 1767",271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
Villa Gral. Mitre,JUAN B JUSTO  4305,271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
