Coordinates,Exact_Match
"21.3618135,-101.9038435",True
"21.3618353,-101.9038517",True
"21.3618062,-101.9038408",True
"21.3594119,-101.9036055",True
"21.3594109,-101.9036075",True
"21.3594082,-101.9036128",True
"21.3594072,-101.9036148",True
"21.3612179,-101.9025365",False
,False
,True
,True
,False
,False
"20.6983261,-103.3289318",True
,True
"20.3927658,-102.3485132",False
,False
,True
,False
"20.3927658,-102.3485132",False
,True
,True
"20.3927658,-102.3485132",False
"21.3578031,-101.9125008",True
"21.3578031,-101.9125008",True
"20.637092,-103.2881983",True
"20.6443984,-103.2576617",True
"20.637736,-103.2902006",False
"20.6904144,-103.2687537",False
"21.3586841,-101.9077384",True
"20.6457486,-103.2590087",False
,True
"21.3580659,-101.9125529",True
,False
"21.3591974,-101.9081901",True
"20.636711,-103.2891479",True
"20.6451603,-103.2574024",False
"20.6364249,-103.288866",True
"21.3579022,-101.9127692",True
"20.6449323,-103.2566368",False
,False
"20.6449319,-103.2568163",False
"20.6370701,-103.2881301",False
"20.3927658,-102.3485132",False
"20.6454185,-103.2567858",False
,False
"21.3578465,-101.9131754",True
