,TimeStamp,Metric1,Metric2,Metric3,Metric1 Interpretation,Metric2 Interpretation,Metric3 Interpretation,Link,RT,Quotes,Likes,Views
twitter.com/chemamtz_/status/1714418390750703777,2023-10-17 23:09:31.000,0.27860056757926943,0.07977233357526833,0.5494515299797058,Enojo/Molestia,Mucho Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1714418390750703777,15,9,42,2896
twitter.com/chemamtz_/status/1720240639487418750,2023-11-03 00:45:03.000,0.5056926740540398,0.18533266985897628,0.3459174765480889,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1720240639487418750,9,9,36,895
twitter.com/chemamtz_/status/1713045208756302040,2023-10-14 04:12:59.000,0.7238851034122965,0.24672567348447486,0.7178700669952061,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1713045208756302040,31,66,103,2014
twitter.com/chemamtz_/status/1720958479387513213,2023-11-05 00:17:30.000,0.3803311660885811,0.13090345047517268,0.731982983648777,Enojo/Molestia,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1720958479387513213,18,11,54,1380
twitter.com/chemamtz_/status/1706343749192741224,2023-09-25 16:23:46.000,0.053741806745529176,0.14876475117636814,0.4854288876056671,Mucho Enojo/Molestia,Enojo/Molestia,Neutral,twitter.com/chemamtz_/status/1706343749192741224,15,9,49,1256
twitter.com/chemamtz_/status/1730434657638875393,2023-12-01 03:52:26.000,0.5080313158035279,0.1763964595285236,0.35194429953893025,Neutral,Enojo/Molestia,Enojo/Molestia,twitter.com/chemamtz_/status/1730434657638875393,23,15,82,2569
twitter.com/chemamtz_/status/1711905253426078152,2023-10-11 00:43:12.000,0.6626134306192399,0.2399949489774588,0.8596637964248657,Aprobacion/Alegria,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1711905253426078152,12,28,59,1018
twitter.com/chemamtz_/status/1703893416793211376,2023-09-18 22:07:02.000,0.453808434009552,0.19971905613261315,0.6097803890705109,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1703893416793211376,10,12,52,1239
twitter.com/chemamtz_/status/1735439907026354382,2023-12-14 23:21:31.000,0.453808434009552,0.19971905613261315,0.6097803890705109,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1735439907026354382,5,2,25,206
twitter.com/chemamtz_/status/1728237951187107995,2023-11-25 02:23:31.000,0.544466957449913,0.3679559456417747,0.700419694185257,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1728237951187107995,12,3,38,727
twitter.com/chemamtz_/status/1719085572965224877,2023-10-30 20:15:14.000,0.4727727981714102,0.17744634362064268,0.6858389973640442,Neutral,Enojo/Molestia,Aprobacion/Alegria,twitter.com/chemamtz_/status/1719085572965224877,16,13,54,805
